season,week,home,away,spread,model_margin,edge,tier,model_side,final,ats,dog_won
2023,1,USC,San José State,-30.5,21.5,-9.0,YEL,San José State,56-28,W,
2023,1,UCF,Kent State,-35.5,16.4,-19.1,YEL,Kent State,56-6,L,
2023,1,Minnesota,Nebraska,-7.5,14.6,7.1,YEL,Minnesota,13-10,L,
2023,1,Utah,Florida,-5.5,14.1,8.6,YEL,Utah,24-11,W,
2023,1,Georgia Tech,Louisville,7.5,-14.2,-6.7,YEL,Louisville,34-39,L,
2023,1,Hawai'i,Stanford,3.0,-13.1,-10.1,YEL,Stanford,24-37,W,
2023,1,Oklahoma,Arkansas State,-36.0,24.5,-11.5,YEL,Arkansas State,73-0,L,
2023,1,Michigan,East Carolina,-36.0,24.3,-11.7,YEL,East Carolina,30-3,W,
2023,1,TCU,Colorado,-20.5,33.9,13.4,YEL,TCU,42-45,L,
2023,1,Western Kentucky,South Florida,-11.5,18.1,6.6,YEL,Western Kentucky,41-24,W,
2023,1,Wisconsin,Buffalo,-28.0,18.4,-9.6,YEL,Buffalo,38-17,W,
2023,1,North Texas,California,6.5,0.5,7.0,RED,North Texas,21-58,L,False
2023,1,Colorado State,Washington State,11.0,-18.3,-7.3,YEL,Washington State,24-50,W,
2023,1,Texas A&M,New Mexico,-38.0,28.8,-9.2,YEL,New Mexico,52-10,L,
2023,1,Illinois,Toledo,-9.5,15.7,6.2,YEL,Illinois,30-28,L,
2023,1,Virginia Tech,Old Dominion,-16.0,6.8,-9.2,YEL,Old Dominion,36-17,L,
2023,1,Tulane,South Alabama,-6.5,13.4,6.9,YEL,Tulane,37-17,W,
2023,2,Kansas,Illinois,-3.5,-4.0,-7.5,RED,Illinois,34-23,L,False
2023,2,Wake Forest,Vanderbilt,-10.0,16.9,6.9,YEL,Wake Forest,36-20,W,
2023,2,Colorado,Nebraska,-3.0,-13.9,-16.9,RED,Nebraska,36-14,L,False
2023,2,Virginia Tech,Purdue,-1.0,-8.0,-9.0,YEL,Purdue,17-24,W,
2023,2,Iowa State,Iowa,3.5,1.4,4.9,RED,Iowa State,13-20,L,False
2023,2,Tulane,Ole Miss,8.5,-0.3,8.2,YEL,Tulane,20-37,L,
2023,2,East Carolina,Marshall,2.5,4.7,7.2,YEL,East Carolina,13-31,L,
2023,2,Arkansas,Kent State,-38.5,16.4,-22.1,YEL,Kent State,28-6,W,
2023,2,Washington,Tulsa,-33.0,18.1,-14.9,YEL,Tulsa,43-10,P,
2023,2,North Carolina,App State,-19.5,8.3,-11.2,YEL,App State,40-34,W,
2023,2,Georgia Southern,UAB,-7.0,-3.7,-10.7,RED,UAB,49-35,L,False
2023,2,Oklahoma,SMU,-16.5,10.2,-6.3,YEL,SMU,28-11,L,
2023,2,Florida International,North Texas,11.0,-19.5,-8.5,YEL,North Texas,46-39,L,
2023,2,Rice,Houston,7.0,-15.6,-8.6,YEL,Houston,43-41,L,
2023,2,Missouri,Middle Tennessee,-21.0,11.6,-9.4,YEL,Middle Tennessee,23-19,W,
2023,2,Georgia State,UConn,-3.0,12.4,9.4,YEL,Georgia State,35-14,W,
2023,2,Arkansas State,Memphis,20.5,-13.7,6.8,YEL,Arkansas State,3-37,L,
2023,2,Mississippi State,Arizona,-8.5,17.7,9.2,YEL,Mississippi State,31-24,L,
2023,2,Florida State,Southern Miss,-31.0,24.1,-6.9,YEL,Southern Miss,66-13,L,
2023,2,USC,Stanford,-29.0,19.6,-9.4,YEL,Stanford,56-10,L,
2023,3,Air Force,Utah State,-8.5,17.7,9.2,YEL,Air Force,39-21,W,
2023,3,Missouri,Kansas State,2.0,-9.8,-7.8,YEL,Kansas State,30-27,L,
2023,3,Ohio,Iowa State,2.5,-9.7,-7.2,YEL,Iowa State,10-7,L,
2023,3,Eastern Michigan,Massachusetts,-8.0,17.0,9.0,YEL,Eastern Michigan,19-17,L,
2023,3,Notre Dame,Central Michigan,-35.0,26.2,-8.8,YEL,Central Michigan,41-17,W,
