week,date,pick,line,stake,model_p,market_p,result,pnl,bankroll_after
1,2026-08-29,North Carolina +9.5,TCU -9.5,280,0.668,0.551,W,280,1780
1,2026-08-29,San Jose State +38.5,USC -38.5,35,0.599,0.498,W,35,1815
1,2026-08-29,Jacksonville State +7,NDSU -7,40,0.590,0.512,L,-40,1775
1,2026-08-29,Sacramento State +9.5,EMU -9.5,90,0.759,0.525,L,-90,1685
1,2026-08-29,EMU/SacSt OVER 53.5,O/U 53.5,25,,0.534,L,-25,1660
1,2026-08-29,New Mexico State +31.5,FSU -31.5,30,0.583,0.498,W,30,1690
2,2026-09-03,Massachusetts +28.5,Rutgers -28.5,60,0.665,0.475,W,60,1750
2,2026-09-03,Akron +24.5,Wake Forest -24.5,20,0.545,0.502,W,20,1770
2,2026-09-03,Colorado +6.5,Georgia Tech -6.5,45,0.602,0.502,W,45,1815
2,2026-09-03,UAB +27.5,Illinois -27.5,35,0.579,0.502,W,35,1850
2,2026-09-04,GSU/NCAT UNDER 62.5,O/U 62.5,275,,0.565,L,-275,1575
2,2026-09-05,North Texas +40.5,Indiana -40.5,88,0.69,0.502,W,88,1663
2,2026-09-05,Coastal Carolina +21,West Virginia -21,65,0.64,0.502,W,65,1728
2,2026-09-05,Missouri State +40.5,Texas A&M -40.5,79,0.67,0.502,L,-79,1649
2,2026-09-05,California +2.5,UCLA -2.5,60,0.63,0.502,L,-60,1589
2,2026-09-06,Washington State +23.5,Washington -23.5,74,0.66,0.502,W,74,1663
3,2026-09-11,NC State -30.5,NC State -30.5 (mkt -33.5),250,,0.56,W,250,1913
3,2026-09-11,Virginia -44.5,Virginia -44.5 (mkt -46.5),125,,0.54,W,125,2038
3,2026-09-12,Utah State +27.5,Washington -27.5,60,0.72,0.502,W,60,2098
3,2026-09-12,Buffalo +10 (deviation),FIU -10,125,0.71,0.502,L,-125,1973
3,2026-09-12,Lindenwood +19.5,Missouri State -19.5 (mkt -16.5),250,,0.56,L,-250,1723
3,2026-09-12,Southern Miss +32.5,Auburn -32.5,85,0.81,0.502,L,-85,1638
3,2026-09-12,Charlotte +45.5,Ole Miss -45.5,80,0.79,0.502,W,80,1718
3,2026-09-12,Prairie View +39.5,Baylor -39.5 (mkt -37.5),125,,0.54,L,-125,1593
3,2026-09-12,Sacramento State +18.5,Fresno State -18.5,45,0.67,0.502,L,-45,1548
