team,group,rank,player
Ohio State,QB,1,Julian Sayin
Miami,QB,1,Darian Mensah
Utah,QB,1,Devon Dampier
Ole Miss,QB,1,Trinidad Chambliss
Oklahoma,QB,1,John Mateer
South Carolina,QB,1,LaNorris Sellers
Michigan,QB,1,Bryce Underwood
Baylor,QB,1,DJ Lagway
NC State,QB,1,CJ Bailey
Texas,QB,1,Arch Manning
Texas A&M,QB,1,Marcel Reed
Notre Dame,QB,1,CJ Carr
Oregon,QB,1,Dante Moore
BYU,QB,1,Bear Bachmeier
Georgia,QB,1,Gunner Stockton
Maryland,QB,1,Malik Washington
Minnesota,QB,1,Drake Lindsey
Washington,QB,1,Demond Williams Jr.
Missouri,QB,1,Austin Simmons
California,QB,1,Jaron-Keawe Sagapolutele
Pittsburgh,QB,1,Mason Heintschel
Hawai'i,QB,1,Micah Alejado
Mississippi State,QB,1,KaMario Taylor
Missouri,RB,1,Ahmad Hardy
LSU,QB,1,Sam Leavitt
Oklahoma State,QB,1,Drew Mestemaker
Wisconsin,QB,1,Colton Joseph
