team,espn_fpi,lucas_fpi,espn_wins,lucas_wins,rankswap_wins,delta,espn_bowl,lucas_bowl,espn_10w,lucas_10w,flag
Central Michigan,-12.8,-8.0,5.6,6.77,5.55,1.17,0.519,0.79,0.006,0.033,
Penn State,13.7,17.0,8.74,9.39,9.52,0.65,0.985,0.996,0.307,0.489,
Eastern Michigan,-16.3,-13.7,4.88,5.5,4.9,0.62,0.338,0.5,0.001,0.004,
Florida International,-12.6,-10.3,5.98,6.56,6.47,0.57,0.621,0.751,0.013,0.029,
Illinois,6.3,8.8,6.71,7.27,7.12,0.56,0.801,0.886,0.023,0.055,
Troy,-7.4,-5.1,6.55,7.1,6.37,0.55,0.756,0.85,0.024,0.054,
Virginia Tech,7.4,9.3,6.97,7.38,7.3,0.41,0.826,0.886,0.047,0.079,
Bowling Green,-13.7,-12.8,5.13,5.47,5.12,0.34,0.395,0.491,0.002,0.004,
Kent State,-17.9,-16.9,4.14,4.44,4.14,0.3,0.167,0.225,0.0,0.0,
Liberty,-7.7,-6.6,7.27,7.56,7.54,0.29,0.866,0.903,0.074,0.103,
South Alabama,-10.5,-9.6,5.65,5.93,6.02,0.27,0.535,0.603,0.007,0.012,
Louisiana,-8.3,-7.4,6.82,7.05,7.57,0.23,0.801,0.842,0.039,0.053,
Arkansas State,-9.2,-8.3,6.26,6.48,6.65,0.22,0.683,0.73,0.017,0.025,
Rutgers,-0.2,0.3,5.12,5.3,5.48,0.18,0.388,0.438,0.001,0.002,
UAB,-15.5,-14.6,4.28,4.44,4.36,0.16,0.201,0.235,0.001,0.001,
North Dakota State,-8.3,-8.3,6.63,6.78,6.63,0.15,0.757,0.787,0.03,0.037,
Toledo,-3.0,-3.0,8.02,8.16,8.04,0.14,0.944,0.953,0.172,0.198,
Fresno State,-2.5,-2.5,6.06,6.17,6.05,0.12,0.648,0.678,0.008,0.01,
UConn,-11.2,-11.2,5.22,5.33,5.31,0.11,0.419,0.448,0.004,0.004,
Hawai'i,-2.4,-2.4,7.62,7.73,7.34,0.11,0.904,0.918,0.114,0.128,
Indiana,23.1,23.1,9.68,9.78,9.86,0.1,0.998,0.998,0.586,0.621,
Louisiana Tech,-9.6,-9.2,5.56,5.66,5.68,0.1,0.512,0.541,0.005,0.005,
Tulane,2.3,2.3,7.92,8.01,6.1,0.09,0.936,0.944,0.158,0.17,under
Jacksonville State,-8.5,-8.5,6.96,7.05,6.99,0.08,0.818,0.83,0.056,0.061,
Oregon,25.3,25.3,9.69,9.75,9.75,0.06,0.999,0.999,0.587,0.606,
Old Dominion,-4.4,-4.4,7.08,7.14,7.15,0.06,0.831,0.841,0.067,0.07,
Ohio State,28.7,28.7,9.64,9.7,9.69,0.06,0.999,1.0,0.566,0.585,
Massachusetts,-18.8,-18.8,5.16,5.21,5.15,0.06,0.398,0.41,0.001,0.002,
Auburn,12.0,12.0,6.5,6.55,6.59,0.05,0.743,0.756,0.021,0.022,
Oklahoma,17.8,17.8,7.44,7.49,7.12,0.05,0.898,0.904,0.085,0.091,
James Madison,-2.0,-2.0,7.8,7.85,7.92,0.05,0.931,0.935,0.134,0.143,
Western Kentucky,-4.9,-4.9,6.8,6.84,6.89,0.04,0.811,0.819,0.024,0.025,
NC State,3.7,3.7,6.64,6.68,6.59,0.04,0.76,0.767,0.035,0.037,
Iowa,10.6,10.6,7.56,7.6,8.31,0.04,0.919,0.923,0.086,0.092,
Louisville,9.5,9.5,7.41,7.45,7.76,0.03,0.883,0.887,0.093,0.096,
Florida,13.6,13.6,6.7,6.73,6.33,0.03,0.778,0.784,0.034,0.035,
Marshall,-8.8,-8.7,6.5,6.53,6.53,0.03,0.74,0.748,0.023,0.024,
