team,espn_fpi,lucas_fpi,espn_wins,lucas_wins,rankswap_wins,delta,espn_bowl,lucas_bowl,espn_10w,lucas_10w,flag
Central Michigan,-12.8,-8.0,5.48,6.96,5.42,1.49,0.49,0.837,0.003,0.034,
Eastern Michigan,-16.3,-13.7,4.52,5.29,4.53,0.76,0.243,0.44,0.0,0.002,
Penn State,13.7,17.0,9.24,9.99,10.14,0.75,0.997,1.0,0.439,0.678,
Florida International,-12.6,-10.3,5.82,6.54,6.44,0.72,0.583,0.758,0.007,0.025,
Illinois,6.3,8.8,6.8,7.49,7.31,0.69,0.825,0.924,0.02,0.062,
Troy,-7.4,-5.1,6.61,7.28,6.38,0.67,0.774,0.892,0.021,0.058,
Virginia Tech,7.4,9.3,7.12,7.63,7.51,0.5,0.865,0.926,0.045,0.095,
Bowling Green,-13.7,-12.8,4.85,5.26,4.85,0.42,0.311,0.431,0.001,0.001,
Kent State,-17.9,-16.9,3.77,4.13,3.78,0.36,0.098,0.158,0.0,0.0,
Liberty,-7.7,-6.6,7.47,7.83,7.81,0.36,0.901,0.938,0.087,0.13,
South Alabama,-10.5,-9.6,5.46,5.8,5.91,0.34,0.485,0.574,0.004,0.007,
Louisiana,-8.3,-7.4,6.99,7.28,7.95,0.29,0.839,0.882,0.041,0.062,
Arkansas State,-9.2,-8.3,6.22,6.5,6.71,0.28,0.68,0.744,0.012,0.021,
Rutgers,-0.2,0.3,4.8,5.02,5.25,0.22,0.293,0.355,0.0,0.001,
North Dakota State,-8.3,-8.3,6.67,6.87,6.67,0.2,0.779,0.819,0.026,0.036,
UAB,-15.5,-14.6,3.78,3.96,3.89,0.19,0.099,0.124,0.0,0.0,
Toledo,-3.0,-3.0,8.43,8.62,8.45,0.19,0.978,0.982,0.234,0.281,
UConn,-11.2,-11.2,4.83,4.97,4.95,0.14,0.314,0.351,0.001,0.002,
Indiana,23.1,23.1,10.2,10.32,10.4,0.13,1.0,1.0,0.759,0.797,
Louisiana Tech,-9.6,-9.2,5.41,5.54,5.55,0.13,0.474,0.506,0.003,0.003,
Fresno State,-2.5,-2.5,6.18,6.31,6.16,0.13,0.686,0.722,0.006,0.009,
Hawai'i,-2.4,-2.4,7.99,8.11,7.64,0.12,0.947,0.958,0.157,0.175,
Old Dominion,-4.4,-4.4,7.25,7.34,7.35,0.1,0.861,0.878,0.077,0.083,
Jacksonville State,-8.5,-8.5,7.08,7.18,7.11,0.1,0.847,0.86,0.058,0.066,
Tulane,2.3,2.3,8.36,8.46,6.07,0.1,0.973,0.977,0.22,0.238,under
