game_id,season,season_type,week,date,home,away,neutral,conference_game,home_conference,away_conference,home_power,away_power,power_matchup,home_rank,away_rank,home_rest_days,away_rest_days,rivalry,provider_spread,spread_close,provider_move,spread_open,spread_move,provider_total,total_close,total_open,total_move,provider_ml,home_ml,away_ml,home_points,away_points,margin,total_points,home_cover_margin,home_covered,over_margin,over_result,home_won
401282714,2021,regular,1,2021-08-28,Illinois,Nebraska,0,1,Big Ten,Big Ten,1,1,P4vP4,,,,,0,Bovada,7.0,Bovada,8.5,-1.5,Bovada,52.0,55.0,-3.0,Bovada,220,-270,30,22,8,52,15.0,W,0.0,P,1
401286187,2021,regular,1,2021-08-28,Fresno State,UConn,0,0,Mountain West,FBS Independents,0,0,G5vG5,,,,,0,Bovada,-28.0,Bovada,-27.5,-0.5,Bovada,63.5,62.5,1.0,Bovada,-5000,1275,45,0,45,45,17.0,W,-18.5,U,1
401309833,2021,regular,1,2021-08-28,UCLA,Hawai'i,0,0,Pac-12,Mountain West,1,0,P4vG5,,,,,0,Bovada,-18.0,Bovada,-14.0,-4.0,Bovada,66.5,70.5,-4.0,Bovada,-900,550,44,10,34,54,16.0,W,-12.5,U,1
401282049,2021,regular,1,2021-08-29,New Mexico State,UTEP,0,0,FBS Independents,Conference USA,0,0,G5vG5,,,,,0,Bovada,10.0,Bovada,8.0,2.0,Bovada,59.5,54.0,5.5,Bovada,280,-360,3,30,-27,33,-17.0,L,-26.5,U,0
401300995,2021,regular,1,2021-09-02,UCF,Boise State,0,0,American Athletic,Mountain West,0,0,G5vG5,,,,,0,Bovada,-6.5,Bovada,-4.0,-2.5,Bovada,67.5,70.0,-2.5,Bovada,-225,185,36,31,5,67,-1.5,L,-0.5,U,1
401282607,2021,regular,1,2021-09-02,NC State,South Florida,0,0,ACC,American Athletic,1,0,P4vG5,,,,,0,Bovada,-20.0,Bovada,-16.5,-3.5,Bovada,58.0,60.0,-2.0,Bovada,-1100,650,45,0,45,45,25.0,W,-13.0,U,1
401300993,2021,regular,1,2021-09-02,App State,East Carolina,0,0,Sun Belt,American Athletic,0,0,G5vG5,,,,,0,Bovada,-9.5,Bovada,-13.0,3.5,Bovada,56.0,59.5,-3.5,Bovada,-420,310,33,19,14,52,4.5,W,-4.0,U,1
401281952,2021,regular,1,2021-09-03,Tennessee,Bowling Green,0,0,SEC,Mid-American,1,0,P4vG5,,,,,0,Bovada,-37.0,Bovada,-30.5,-6.5,Bovada,60.5,58.5,2.0,,,,38,6,32,44,-5.0,L,-16.5,U,1
401282789,2021,regular,1,2021-09-03,Minnesota,Ohio State,0,1,Big Ten,Big Ten,1,1,P4vP4,,4,,,0,Bovada,14.0,Bovada,14.0,0.0,Bovada,61.5,66.5,-5.0,Bovada,385,-570,31,45,-14,76,0.0,P,14.5,O,0
401309937,2021,regular,1,2021-09-03,Virginia Tech,North Carolina,0,1,ACC,ACC,1,1,P4vP4,,10,,,0,Bovada,6.0,Bovada,5.5,0.5,Bovada,63.5,66.0,-2.5,Bovada,180,-220,17,10,7,27,13.0,W,-36.5,U,1
401282608,2021,regular,1,2021-09-03,Wake Forest,Old Dominion,0,0,ACC,Conference USA,1,0,P4vG5,,,,,0,Bovada,-33.0,Bovada,-32.0,-1.0,Bovada,61.0,65.0,-4.0,,,,42,10,32,52,-1.0,L,-9.0,U,1
401282052,2021,regular,1,2021-09-03,Charlotte,Duke,0,0,Conference USA,ACC,0,1,P4vG5,,,,,0,Bovada,6.5,Bovada,7.5,-1.0,Bovada,60.0,60.0,0.0,Bovada,215,-260,31,28,3,59,9.5,W,-1.0,U,1
401282782,2021,regular,1,2021-09-04,Northwestern,Michigan State,0,1,Big Ten,Big Ten,1,1,P4vP4,,,,,0,Bovada,-3.0,Bovada,-7.0,4.0,Bovada,45.0,45.0,0.0,Bovada,-170,150,21,38,-17,59,-20.0,L,14.0,O,0
401309601,2021,regular,1,2021-09-04,Georgia State,Army,0,0,Sun Belt,FBS Independents,0,0,G5vG5,,,,,0,Bovada,-2.5,Bovada,-3.0,0.5,Bovada,49.5,51.5,-2.0,Bovada,-130,110,10,43,-33,53,-35.5,L,3.5,O,0
401282822,2021,regular,1,2021-09-04,Rutgers,Temple,0,0,Big Ten,American Athletic,1,0,P4vG5,,,,,0,Bovada,-14.0,Bovada,-13.0,-1.0,Bovada,52.0,51.0,1.0,Bovada,-700,450,61,14,47,75,33.0,W,23.0,O,1
401287889,2021,regular,1,2021-09-04,Kansas State,Stanford,1,0,Big 12,Pac-12,1,1,P4vP4,,,,,0,Bovada,-3.5,Bovada,0.0,-3.5,Bovada,54.0,52.5,1.5,Bovada,-160,140,24,7,17,31,13.5,W,-23.0,U,1
401281947,2021,regular,1,2021-09-04,Kentucky,UL Monroe,0,0,SEC,Sun Belt,1,0,P4vG5,,,,,0,Bovada,-31.0,Bovada,-28.5,-2.5,Bovada,54.0,54.0,0.0,,,,45,10,35,55,4.0,W,1.0,O,1
401282772,2021,regular,1,2021-09-04,Michigan,Western Michigan,0,0,Big Ten,Mid-American,1,0,P4vG5,,,,,0,Bovada,-16.5,Bovada,-16.5,0.0,Bovada,65.5,67.0,-1.5,Bovada,-1000,600,47,14,33,61,16.5,W,-4.5,U,1
401282815,2021,regular,1,2021-09-04,Wisconsin,Penn State,0,1,Big Ten,Big Ten,1,1,P4vP4,12,19,,,0,Bovada,-5.5,Bovada,-4.0,-1.5,Bovada,48.5,51.5,-3.0,Bovada,-210,175,10,16,-6,26,-11.5,L,-22.5,U,0
401287894,2021,regular,1,2021-09-04,Oklahoma,Tulane,0,0,Big 12,American Athletic,1,0,P4vG5,2,,,,0,Bovada,-31.5,Bovada,-22.0,-9.5,Bovada,67.0,70.0,-3.0,,,,40,35,5,75,-26.5,L,8.0,O,1
401281943,2021,regular,1,2021-09-04,Arkansas,Rice,0,0,SEC,Conference USA,1,0,P4vG5,,,,,0,Bovada,-20.0,Bovada,-21.5,1.5,Bovada,50.0,51.0,-1.0,Bovada,-1300,725,38,17,21,55,1.0,W,5.0,O,1
401309838,2021,regular,1,2021-09-04,Oregon,Fresno State,0,0,Pac-12,Mountain West,1,0,P4vG5,11,,,7,0,Bovada,-20.0,Bovada,-20.5,0.5,Bovada,64.0,61.5,2.5,Bovada,-1500,775,31,24,7,55,-13.0,L,-9.0,U,1
401281942,2021,regular,1,2021-09-04,Miami,Alabama,1,0,ACC,SEC,1,1,P4vP4,14,1,,,0,Bovada,19.5,Bovada,18.5,1.0,Bovada,61.5,64.5,-3.0,Bovada,700,-1200,13,44,-31,57,-11.5,L,-4.5,U,0
