season,date,home,away,home_pts,away_pts,spread_close,spread_open,total_close,total_open,home_ml,away_ml,home_rest,away_rest,margin,total_points,home_cover_margin,over_margin,over_result,home_won,abs_spread,dog_is_home,has_fav,dog_res,home_res,home_covered,over_res,under_res,total_q,ml_fav,ml_dog,ret_fav,ret_dog,spread_move,dog_res_open
2011,2011-12-25,Knicks,Celtics,106,104,-4.5,-5.0,189.0,195.5,-210,185,,,2,210,-2.5,21.0,O,1,4.5,False,True,W,L,L,W,L,1,-210.0,185.0,0.47619047619047616,-1.0,0.5,W
2011,2011-12-25,Mavericks,Heat,94,105,4.5,3.5,190.0,190.5,185,-210,,,-11,199,-6.5,9.0,O,0,4.5,True,True,L,L,L,W,L,2,-210.0,185.0,0.47619047619047616,-1.0,1.0,L
2011,2011-12-25,Lakers,Bulls,87,88,5.0,1.5,183.5,186.0,205,-245,,,-1,175,4.0,-8.5,U,0,5.0,True,True,W,W,W,L,W,0,-245.0,205.0,0.40816326530612246,-1.0,3.5,W
2011,2011-12-25,Thunder,Magic,97,89,-7.5,-7.5,194.5,197.0,-380,310,,,8,186,0.5,-8.5,U,1,7.5,False,True,L,W,W,L,W,3,-380.0,310.0,0.2631578947368421,-1.0,0.0,L
2011,2011-12-25,Warriors,Clippers,86,105,4.5,4.0,209.0,212.0,175,-200,,,-19,191,-14.5,-18.0,U,0,4.5,True,True,L,L,L,L,W,4,-200.0,175.0,0.5,-1.0,0.5,L
2011,2011-12-26,Warriors,Bulls,99,91,6.5,5.5,190.5,197.0,250,-300,1.0,1.0,8,190,14.5,-0.5,U,1,6.5,True,True,W,W,W,L,W,2,-300.0,250.0,-1.0,2.5,1.0,W
2011,2011-12-26,Trailblazers,Seventysixers,107,103,-5.0,-4.5,187.0,189.0,-200,170,,,4,210,-1.0,23.0,O,1,5.0,False,True,W,L,L,W,L,1,-200.0,170.0,0.5,-1.0,-0.5,W
2011,2011-12-26,Kings,Lakers,100,91,3.0,3.5,193.5,200.0,125,-145,,1.0,9,191,12.0,-2.5,U,1,3.0,True,True,W,W,W,L,W,2,-145.0,125.0,-1.0,1.25,-0.5,W
2011,2011-12-26,Suns,Pelicans,84,85,-6.0,-7.0,191.5,195.0,-260,220,,,-1,169,-7.0,-22.5,U,0,6.0,False,True,W,L,L,L,W,2,-260.0,220.0,-1.0,2.2,1.0,W
2011,2011-12-26,Mavericks,Nuggets,93,115,-4.5,-5.0,200.5,202.5,-200,170,1.0,,-22,208,-26.5,7.5,O,0,4.5,False,True,W,L,L,W,L,4,-200.0,170.0,-1.0,1.7,0.5,W
2011,2011-12-26,Spurs,Grizzlies,95,82,-5.0,-5.5,193.0,196.0,-210,175,,,13,177,8.0,-16.0,U,1,5.0,False,True,L,W,W,L,W,2,-210.0,175.0,0.47619047619047616,-1.0,0.5,L
2011,2011-12-26,Pacers,Pistons,91,79,-8.0,-7.0,192.0,198.0,-400,325,,,12,170,4.0,-22.0,U,1,8.0,False,True,L,W,W,L,W,2,-400.0,325.0,0.25,-1.0,-1.0,L
2011,2011-12-26,Cavaliers,Raptors,96,104,-2.0,-3.5,194.0,198.5,-130,110,,,-8,200,-10.0,6.0,O,0,2.0,False,True,W,L,L,W,L,3,-130.0,110.0,-1.0,1.1,1.5,W
2011,2011-12-26,Magic,Rockets,104,95,-6.5,-5.5,194.5,201.0,-265,225,1.0,,9,199,2.5,4.5,O,1,6.5,False,True,L,W,W,W,L,3,-265.0,225.0,0.37735849056603776,-1.0,-1.0,L
2011,2011-12-26,Hornets,Bucks,96,95,,0.0,178.0,180.5,155,-175,,,1,191,,13.0,O,1,,False,False,,,,W,L,0,-175.0,155.0,-1.0,1.55,,
2011,2011-12-26,Wizards,Nets,84,90,-3.5,-4.5,189.0,191.5,-165,145,,,-6,174,-9.5,-15.0,U,0,3.5,False,True,W,L,L,L,W,1,-165.0,145.0,-1.0,1.45,1.0,W
2011,2011-12-26,Timberwolves,Thunder,100,104,5.5,6.0,206.5,209.0,190,-230,,1.0,-4,204,1.5,-2.5,U,0,5.5,True,True,W,W,W,L,W,4,-230.0,190.0,0.43478260869565216,-1.0,-0.5,W
2011,2011-12-27,Nets,Hawks,70,106,4.0,5.0,176.5,184.0,155,-175,1.0,,-36,176,-32.0,-0.5,U,0,4.0,True,True,L,L,L,L,W,0,-175.0,155.0,0.5714285714285714,-1.0,-1.0,L
2011,2011-12-27,Heat,Celtics,115,107,-9.5,-11.0,187.0,187.0,-600,450,2.0,2.0,8,222,-1.5,35.0,O,1,9.5,False,True,W,L,L,W,L,1,-600.0,450.0,0.16666666666666666,-1.0,1.5,W
2011,2011-12-27,Bucks,Timberwolves,98,95,-5.5,-6.0,192.5,192.0,-240,200,1.0,1.0,3,193,-2.5,0.5,O,1,5.5,False,True,W,L,L,W,L,2,-240.0,200.0,0.4166666666666667,-1.0,0.5,W
2011,2011-12-27,Trailblazers,Kings,101,79,-8.5,-8.0,196.5,196.0,-450,350,1.0,1.0,22,180,13.5,-16.5,U,1,8.5,False,True,L,W,W,L,W,3,-450.0,350.0,0.2222222222222222,-1.0,-0.5,L
2011,2011-12-27,Lakers,Jazz,96,71,-5.5,-6.0,188.5,188.5,-240,200,1.0,,25,167,19.5,-21.5,U,1,5.5,False,True,L,W,W,L,W,1,-240.0,200.0,0.4166666666666667,-1.0,0.5,L
