game_id,season,game_type,week,date,weekday,gametime,home,away,neutral,div_game,roof,temp,wind,home_rest,away_rest,spread_close,total_close,home_ml,away_ml,margin,total_points,playoff,home_cover_margin,home_covered,over_margin,over_result,home_won,primetime,abs_spread,dog_is_home,has_fav,dog_res,home_res,over_res,under_res,ml_fav,ml_dog,ret_fav,ret_dog,pred_home_margin,abs_spread_err,abs_total_err
2021_01_DAL_TB,2021,REG,1,2021-09-09,Thursday,20:20,TB,DAL,0,0,outdoors,82.0,9.0,7,7,-10.0,52.5,-425.0,351.0,2.0,60.0,0,-8.0,L,7.5,O,1,1,10.0,False,True,W,L,W,L,-425.0,351.0,0.2352941176470588,-1.0,10.0,8.0,7.5
2021_01_PHI_ATL,2021,REG,1,2021-09-12,Sunday,13:00,ATL,PHI,0,0,open,,,7,7,-3.5,49.0,-180.0,161.0,-26.0,38.0,0,-29.5,L,-11.0,U,0,0,3.5,False,True,W,L,L,W,-180.0,161.0,-1.0,1.61,3.5,29.5,11.0
2021_01_PIT_BUF,2021,REG,1,2021-09-12,Sunday,13:00,BUF,PIT,0,0,outdoors,73.0,17.0,7,7,-6.5,48.0,-267.0,232.0,-7.0,39.0,0,-13.5,L,-9.0,U,0,0,6.5,False,True,W,L,L,W,-267.0,232.0,-1.0,2.32,6.5,13.5,9.0
2021_01_NYJ_CAR,2021,REG,1,2021-09-12,Sunday,13:00,CAR,NYJ,0,0,outdoors,81.0,0.0,7,7,-3.5,44.5,-184.0,164.0,5.0,33.0,0,1.5,W,-11.5,U,1,0,3.5,False,True,L,W,L,W,-184.0,164.0,0.5434782608695652,-1.0,3.5,1.5,11.5
2021_01_MIN_CIN,2021,REG,1,2021-09-12,Sunday,13:00,CIN,MIN,0,0,outdoors,81.0,15.0,7,7,3.0,47.0,122.0,-135.0,3.0,51.0,0,6.0,W,4.0,O,1,0,3.0,True,True,W,W,W,L,-135.0,122.0,-1.0,1.22,-3.0,6.0,4.0
2021_01_SF_DET,2021,REG,1,2021-09-12,Sunday,13:00,DET,SF,0,0,dome,,,7,7,9.5,46.0,344.0,-415.0,-8.0,74.0,0,1.5,W,28.0,O,0,0,9.5,True,True,W,W,W,L,-415.0,344.0,0.2409638554216867,-1.0,-9.5,1.5,28.0
2021_01_JAX_HOU,2021,REG,1,2021-09-12,Sunday,13:00,HOU,JAX,0,1,closed,,,7,7,3.5,45.5,154.0,-172.0,16.0,58.0,0,19.5,W,12.5,O,1,0,3.5,True,True,W,W,W,L,-172.0,154.0,-1.0,1.54,-3.5,19.5,12.5
2021_01_SEA_IND,2021,REG,1,2021-09-12,Sunday,13:00,IND,SEA,0,0,closed,,,7,7,3.0,49.0,132.0,-146.0,-12.0,44.0,0,-9.0,L,-5.0,U,0,0,3.0,True,True,L,L,L,W,-146.0,132.0,0.684931506849315,-1.0,-3.0,9.0,5.0
2021_01_ARI_TEN,2021,REG,1,2021-09-12,Sunday,13:00,TEN,ARI,0,0,outdoors,82.0,8.0,7,7,-2.5,54.0,-146.0,131.0,-25.0,51.0,0,-27.5,L,-3.0,U,0,0,2.5,False,True,W,L,L,W,-146.0,131.0,-1.0,1.31,2.5,27.5,3.0
2021_01_LAC_WAS,2021,REG,1,2021-09-12,Sunday,13:00,WAS,LAC,0,0,outdoors,81.0,4.0,7,7,-2.5,45.5,-129.0,117.0,-4.0,36.0,0,-6.5,L,-9.5,U,0,0,2.5,False,True,W,L,L,W,-129.0,117.0,-1.0,1.17,2.5,6.5,9.5
2021_01_CLE_KC,2021,REG,1,2021-09-12,Sunday,16:25,KC,CLE,0,0,outdoors,88.0,8.0,7,7,-5.5,54.5,-241.0,211.0,4.0,62.0,0,-1.5,L,7.5,O,1,0,5.5,False,True,W,L,W,L,-241.0,211.0,0.4149377593360996,-1.0,5.5,1.5,7.5
2021_01_MIA_NE,2021,REG,1,2021-09-12,Sunday,16:25,NE,MIA,0,1,outdoors,81.0,15.0,7,7,-3.5,43.5,-173.0,155.0,-1.0,33.0,0,-4.5,L,-10.5,U,0,0,3.5,False,True,W,L,L,W,-173.0,155.0,-1.0,1.55,3.5,4.5,10.5
2021_01_GB_NO,2021,REG,1,2021-09-12,Sunday,16:25,NO,GB,1,0,outdoors,86.0,9.0,7,7,4.0,49.0,162.0,-181.0,35.0,41.0,0,39.0,W,-8.0,U,1,0,4.0,True,True,W,W,L,W,-181.0,162.0,-1.0,1.62,-4.0,39.0,8.0
2021_01_DEN_NYG,2021,REG,1,2021-09-12,Sunday,16:25,NYG,DEN,0,0,outdoors,82.0,19.0,7,7,3.0,41.5,125.0,-139.0,-14.0,40.0,0,-11.0,L,-1.5,U,0,0,3.0,True,True,L,L,L,W,-139.0,125.0,0.7194244604316546,-1.0,-3.0,11.0,1.5
2021_01_CHI_LA,2021,REG,1,2021-09-12,Sunday,20:20,LA,CHI,0,0,dome,,,7,7,-9.5,46.0,-387.0,324.0,20.0,48.0,0,10.5,W,2.0,O,1,1,9.5,False,True,L,W,W,L,-387.0,324.0,0.2583979328165374,-1.0,9.5,10.5,2.0
