family,strategy,n,record,win_pct,ci_lo,ci_hi,p_value,roi_at_110,beats_breakeven,ci_clears_breakeven,seasons_agree,persistent,s2021,s2022,s2023,s2024,s2025,bh_significant
Totals primetime,Under — primetime,291,162-129-4,55.67,49.93,61.27,0.06049,6.28,1,1,5/5,1,30-25-1,35-20-1,36-25-0,29-29-2,32-30-0,0
Totals by size,Under — total 41.5-44.5,467,253-214-4,54.18,49.64,58.64,0.07856,3.43,1,1,4/5,1,39-35-2,55-39-0,54-35-2,47-52-0,58-53-0,0
ATS by spread size,Dog ATS — spread 7-9.5,220,123-97-2,55.91,49.3,62.31,0.09167,6.74,1,1,4/5,1,25-27-0,19-14-0,21-17-2,28-20-0,30-19-0,0
Totals by phase,Under — weeks 1-4,319,175-144-1,54.86,49.37,60.23,0.09286,4.73,1,1,5/5,1,37-27-0,37-26-1,35-29-0,34-30-0,32-32-0,0
Moneyline favs by price,Favorites ML -251 and heavier,525,406-119-0,77.33,-8.47,0.68,0.09719,-3.82,0,0,4/5,1,-4.6% (125),3.1% (93),-10.0% (90),-1.9% (102),-5.4% (115),0
Moneyline,All dogs ML,1419,475-944-0,33.47,-13.29,1.73,0.12179,-5.89,0,0,4/5,1,11.4% (285),-8.7% (283),-7.4% (283),-20.2% (284),-4.6% (284),0
Moneyline,Away dogs ML,850,278-572-0,32.71,-16.2,3.04,0.18347,-6.54,0,0,4/5,1,11.5% (174),-16.3% (175),-9.3% (172),-15.6% (167),-3.1% (162),0
Totals by phase,Under — weeks 13+ (regular),459,216-243-3,47.06,42.54,51.63,0.22487,-10.16,0,0,4/5,1,44-47-1,49-41-1,41-51-0,41-51-1,41-53-0,0
ATS division,Dog ATS — division games,483,254-229-9,52.59,48.13,57.0,0.2748,0.4,1,1,4/5,1,50-46-3,56-43-1,43-50-3,53-43-2,52-47-0,0
Totals by size,Under — total 48-50.5,208,112-96-2,53.85,47.06,60.49,0.2983,2.8,1,0,4/5,1,33-25-1,21-16-0,17-12-0,22-18-1,19-25-0,0
Moneyline dogs by price,Dogs ML +251 and up,392,79-313-0,20.15,-27.25,9.17,0.31699,-9.42,0,0,4/5,1,-9.5% (101),-31.8% (70),10.6% (70),-5.7% (66),-10.3% (85),0
Moneyline favs by price,Favorites ML -101 to -150,363,197-166-0,54.27,-13.57,4.4,0.33626,-4.45,0,0,4/5,1,-20.6% (69),-2.1% (83),8.4% (76),-5.8% (69),-3.9% (66),0
ATS primetime,Dog ATS — primetime (Thu/Mon/SNF),287,149-138-8,51.92,46.15,57.63,0.55508,-0.89,1,0,4/5,1,31-24-1,33-22-1,30-27-4,22-36-2,33-29-0,0
ATS rest,Rest-advantage side ATS (3+ days),295,151-144-6,51.19,45.5,56.84,0.7269,-2.28,1,0,4/5,1,30-27-2,29-26-2,33-23-2,29-38-0,30-30-0,0
Totals weather,Under — wind 15+ mph,93,57-36-2,61.29,51.13,70.55,0.03751,17.01,1,1,1/1,0,21-9-0,9-5-0,9-3-2,7-9-0,11-10-0,0
Totals venue,Under — outdoors,937,496-441-10,52.93,49.73,56.11,0.07766,1.06,1,1,3/5,0,106-82-3,112-74-2,104-81-3,83-102-2,91-102-0,0
Moneyline,All favorites ML,1419,944-475-0,66.53,-6.96,0.5,0.08665,-3.23,0,0,3/5,0,-12.2% (285),-2.3% (283),0.2% (283),3.8% (284),-5.5% (284),0
ATS by phase,Dog ATS — weeks 1-4,311,168-143-9,54.02,48.46,59.48,0.17344,3.13,1,1,3/5,0,38-26-0,36-25-3,29-30-5,37-26-1,28-36-0,0
Moneyline dogs by price,Dogs ML +100 to +150,512,216-296-0,42.19,-15.07,4.28,0.25864,-5.55,0,0,3/5,0,28.4% (77),-4.3% (100),-21.6% (126),-19.6% (111),3.1% (98),0
Totals,Over — all,1411,684-727-13,48.48,45.88,51.08,0.26351,-7.45,1,0,3/5,0,129-153-3,125-156-3,130-151-4,152-130-3,148-137-0,0
Totals,Under — all,1411,727-684-13,51.52,48.92,54.12,0.26351,-1.64,1,1,3/5,0,153-129-3,156-125-3,151-130-4,130-152-3,137-148-0,0
ATS by phase,Home ATS — weeks 1-4,305,143-162-9,46.89,41.36,52.49,0.30268,-10.49,0,0,3/5,0,27-36-0,30-30-3,25-33-5,29-33-1,32-30-0,0
Totals by size,Under — total 51+,122,67-55-1,54.92,46.07,63.46,0.31931,4.84,1,0,1/1,0,25-24-0,13-9-1,9-3-0,9-9-0,11-10-0,0
ATS by phase,Dog ATS — playoffs,65,37-28-0,56.92,44.83,68.24,0.32108,8.67,1,0,0/0,0,7-6-0,7-6-0,9-4-0,8-5-0,6-7-0,0
Moneyline,Home dogs ML,537,184-353-0,34.26,-17.19,6.99,0.39671,-5.27,0,0,3/5,0,10.9% (107),2.6% (101),-3.7% (105),-30.8% (110),-4.3% (114),0
ATS fav/dog,Dog ATS — all,1391,709-682-33,50.97,48.34,53.59,0.48574,-2.69,1,1,3/5,0,150-131-4,150-124-10,130-141-14,133-148-4,146-138-1,0
ATS rest,Off-bye side ATS — vs non-bye,135,63-72-3,46.67,38.46,55.06,0.49126,-10.91,0,0,2/4,0,11-15-2,14-14-0,12-11-1,10-20-0,16-12-0,0
Totals by size,Under — total 45-47.5,331,159-172-4,48.04,42.71,53.41,0.50958,-8.29,1,0,3/5,0,45-32-0,30-28-1,26-33-1,28-44-2,30-35-0,0
ATS by spread size,Dog ATS — spread 10+,169,80-89-7,47.34,39.95,54.84,0.53843,-9.63,0,0,3/4,0,21-30-3,24-12-3,14-15-1,7-11-0,14-21-0,0
Moneyline dogs by price,Dogs ML +151 to +250,466,155-311-0,33.26,-16.46,8.61,0.5415,-3.88,0,0,3/5,0,20.0% (101),-0.8% (106),4.3% (75),-36.7% (94),-6.9% (90),0
Totals by size,Under — total <=41,283,136-147-2,48.06,42.3,53.86,0.5523,-8.26,1,0,3/4,0,11-13-0,37-33-1,45-47-1,24-29-0,19-25-0,0
Moneyline favs by price,Favorites ML -151 to -250,531,341-190-0,64.22,-7.91,4.32,0.57194,-1.81,0,0,3/5,0,-16.3% (91),-7.1% (107),2.7% (117),14.7% (113),-6.7% (103),0
ATS fav/dog,Away dog ATS,829,423-406-20,51.03,47.63,54.42,0.57844,-2.59,1,1,3/5,0,92-77-3,91-77-6,81-85-7,77-87-3,82-80-1,0
Totals venue,Under — dome/closed roof,442,217-225-3,49.1,44.46,53.74,0.73921,-6.27,1,0,2/5,0,42-41-0,38-47-1,44-41-1,47-50-1,46-46-0,0
ATS by spread size,Dog ATS — spread 0.5-3,526,267-259-21,50.76,46.5,55.01,0.76024,-3.09,1,0,3/5,0,52-36-1,57-56-7,54-60-9,53-56-3,51-51-1,0
ATS fav/dog,Home dog ATS,530,269-261-13,50.75,46.51,54.99,0.76111,-3.1,1,0,3/5,0,55-53-1,55-44-4,47-52-7,52-58-1,60-54-0,0
ATS home/away,Home ATS — all (non-neutral),1359,675-684-33,49.67,47.02,52.32,0.82821,-5.18,1,0,3/5,0,132-145-4,132-135-10,132-133-14,139-135-4,140-136-1,0
ATS by phase,Dog ATS — weeks 5-12,564,280-284-13,49.65,45.54,53.76,0.89949,-5.22,1,0,2/5,0,63-51-2,61-51-4,50-62-4,47-66-2,59-54-1,0
ATS by phase,Dog ATS — weeks 13+,451,224-227-11,49.67,45.08,54.27,0.92498,-5.18,1,0,3/5,0,42-48-2,46-42-3,42-45-5,41-51-1,53-41-0,0
ATS by spread size,Dog ATS — spread 3.5-6.5,476,239-237-3,50.21,45.73,54.68,0.96345,-4.14,1,0,3/5,0,52-38-0,50-42-0,41-49-2,45-61-1,51-47-0,0
ATS division,Dog ATS — non-division,908,455-453-24,50.11,46.86,53.36,0.97353,-4.34,1,0,3/5,0,100-85-1,94-81-9,87-91-11,80-105-2,94-91-1,0
ATS primetime,Home ATS — primetime,285,142-143-8,49.82,44.06,55.59,1.0,-4.88,1,0,2/5,0,28-27-1,22-32-1,25-32-4,33-24-2,34-28-0,0
