family,strategy,n,record,win_pct,ci_lo,ci_hi,p_value,roi_at_110,beats_breakeven,ci_clears_breakeven,seasons_agree,persistent,s2021,s2022,s2023,s2024,s2025,bh_significant
Moneyline,All favorites ML,3753,2673-1080-0,71.22,-7.58,-3.44,0.0,-5.52,0,0,5/5,1,-7.7% (721),-7.5% (702),-3.7% (766),-5.9% (784),-3.1% (780),1
Moneyline favs by price,Favorites ML -401 and heavier,1384,1200-184-0,86.71,-5.05,-1.04,0.0035,-3.03,0,0,4/5,1,-2.0% (289),-8.8% (255),0.4% (285),-3.8% (284),-1.6% (271),1
Moneyline dogs by price,Dogs ML +401 and up,1035,101-934-0,9.76,-38.12,-6.96,0.00372,-22.89,0,0,4/5,1,-32.4% (199),41.9% (187),-40.6% (223),-40.6% (222),-34.4% (204),1
Moneyline favs by price,Favorites ML -251 to -400,720,513-207-0,71.25,-10.82,-2.05,0.00435,-6.36,0,0,5/5,1,-13.0% (118),-4.6% (162),-5.4% (143),-5.8% (147),-4.4% (150),1
Moneyline favs by price,Favorites ML -101 to -150,670,344-326-0,51.34,-15.7,-2.74,0.00604,-9.41,0,0,4/5,1,-13.3% (128),1.5% (107),-13.1% (126),-11.3% (172),-8.5% (137),1
Totals by size,Under — total 60+,750,413-337-11,55.07,51.49,58.59,0.00613,5.13,1,1,5/5,1,120-90-2,108-102-5,77-55-1,61-50-3,47-40-0,1
Moneyline,Away dogs ML,2122,546-1576-0,25.73,-18.38,-2.7,0.00738,-10.87,0,0,4/5,1,-12.7% (395),12.4% (402),-13.6% (438),-18.2% (449),-20.4% (438),1
Moneyline favs by price,Favorites ML -151 to -250,961,598-363-0,62.23,-10.48,-1.1,0.01375,-5.86,0,0,5/5,1,-9.4% (186),-13.6% (178),-2.7% (206),-4.4% (174),-0.6% (217),1
ATS rankings,Dog ATS — both ranked,280,123-157-5,43.93,38.24,49.79,0.0484,-16.14,0,0,5/5,1,23-26-1,28-31-2,19-36-1,24-33-0,29-31-1,0
Totals by phase,Under — weeks 1-4,1218,643-575-16,52.79,49.98,55.58,0.05484,0.78,1,1,5/5,1,134-105-4,127-120-5,128-126-4,127-110-3,127-114-0,0
Moneyline,All dogs ML,3753,1080-2673-0,28.78,-11.19,0.42,0.05944,-5.55,0,0,4/5,1,-4.0% (721),10.6% (702),-13.5% (766),-5.9% (784),-13.3% (780),0
Totals by size,Under — total 45-49.5,817,382-435-7,46.76,43.36,50.18,0.06881,-10.74,0,0,4/5,1,58-64-0,69-68-3,77-97-2,81-88-2,97-118-0,0
ATS by matchup,Dog ATS — G5vG5,1622,845-777-29,52.1,49.66,54.52,0.09616,-0.54,1,1,4/5,1,164-156-5,188-138-5,163-153-5,166-155-9,164-175-5,0
Line movement,Dog ATS vs OPENING line (CLV check),3829,1963-1866-62,51.27,49.68,52.85,0.12079,-2.13,1,1,4/5,1,375-370-14,399-336-17,393-380-15,404-371-10,392-409-6,0
ATS by phase,Dog ATS — weeks 5-9,1301,677-624-32,52.04,49.32,54.74,0.14937,-0.66,1,1,4/5,1,126-136-4,151-105-6,137-127-4,130-127-11,133-129-7,0
ATS by spread size,Dog ATS — spread 7.5-10,474,222-252-7,46.84,42.39,51.34,0.1828,-10.59,0,0,4/5,1,33-42-1,51-48-2,46-51-0,45-57-2,47-54-2,0
ATS by matchup,G5 side ATS — P4vG5,530,254-276-16,47.92,43.7,52.18,0.36169,-8.51,1,0,4/5,1,47-55-4,44-58-4,50-56-4,50-59-3,63-48-1,0
ATS fav/dog,Home dog ATS,1317,675-642-31,51.25,48.55,53.94,0.37791,-2.15,1,1,4/5,1,138-129-9,135-116-7,131-141-3,131-122-4,140-134-8,0
ATS by spread size,Dog ATS — spread 3.5-7,1016,522-494-22,51.38,48.31,54.44,0.39697,-1.91,1,1,4/5,1,110-96-4,106-88-4,112-103-2,81-104-6,113-103-6,0
Line movement,Follow BIG spread steam (move >=2.5) vs close,898,460-438-19,51.22,47.96,54.48,0.48346,-2.21,1,1,4/5,1,64-53-2,79-62-4,58-53-1,144-139-8,115-131-4,0
ATS rest,Off-bye side ATS — vs non-bye,560,287-273-8,51.25,47.12,55.37,0.5828,-2.16,1,0,4/5,1,54-43-0,44-36-0,43-32-3,87-77-3,59-85-2,0
ATS rivalry,Dog ATS — rivalry games (curated),176,92-84-4,52.27,44.92,59.52,0.59787,-0.21,1,0,4/5,1,16-19-0,18-15-1,20-16-0,21-18-0,17-16-3,0
Line movement,Follow spread steam (move >=1) vs close,2241,1110-1131-46,49.53,47.46,51.6,0.67268,-5.44,1,0,4/5,1,211-220-8,215-222-10,149-157-5,281-260-15,254-272-8,0
ATS by phase,Home ATS — weeks 5-9,1282,649-633-32,50.62,47.89,53.35,0.67528,-3.35,1,1,4/5,1,136-127-4,132-122-6,117-144-4,128-117-11,136-123-7,0
ATS by matchup,Dog ATS — P4vP4,1708,845-863-30,49.47,47.11,51.84,0.68083,-5.55,1,0,4/5,1,156-174-6,164-165-5,171-182-7,182-169-5,172-173-7,0
ATS by spread size,Dog ATS — spread 21.5+,490,248-242-9,50.61,46.2,55.02,0.82133,-3.38,1,0,4/5,1,54-52-2,45-56-4,48-41-3,52-45-0,49-48-0,0
Totals by size,Under — total 55-59.5,862,463-399-10,53.71,50.37,57.02,0.03183,2.54,1,1,3/5,0,122-83-2,68-87-1,77-78-4,96-79-3,100-72-0,0
ATS by spread size,Dog ATS — spread 10.5-14,529,284-245-5,53.69,49.43,57.89,0.09841,2.49,1,1,3/5,0,53-56-1,65-43-0,56-51-3,61-41-1,49-54-0,0
Totals,Over — all,3891,1917-1974-53,49.27,47.7,50.84,0.36932,-5.94,1,1,3/5,0,351-408-11,378-385-13,402-376-14,400-383-15,386-422-0,0
Totals,Under — all,3891,1974-1917-53,50.73,49.16,52.3,0.36932,-3.15,1,1,3/5,0,408-351-11,385-378-13,376-402-14,383-400-15,422-386-0,0
ATS conference,Dog ATS — conference games,2631,1338-1293-50,50.86,48.95,52.76,0.391,-2.91,1,1,3/5,0,253-261-9,276-239-9,269-269-9,274-253-12,266-271-11,0
Totals by matchup,Under — P4vP4,1718,875-843-25,50.93,48.57,53.29,0.45452,-2.77,1,1,2/5,0,182-151-4,164-165-8,171-183-7,174-176-6,184-168-0,0
Moneyline dogs by price,Dogs ML +100 to +150,896,412-484-0,45.98,-4.34,9.98,0.47078,2.7,1,0,3/5,0,16.9% (165),4.8% (161),-5.2% (178),9.0% (200),-10.5% (192),0
Totals by size,Under — total 50-54.5,984,481-503-14,48.88,45.77,52.0,0.50322,-6.68,1,0,3/5,0,79-89-7,92-79-0,79-106-2,106-114-5,125-115-0,0
ATS fav/dog,Dog ATS — all,3859,1949-1910-75,50.51,48.93,52.08,0.54073,-3.58,1,1,2/5,0,374-378-15,399-357-14,387-388-16,395-386-17,394-401-13,0
Line movement,Dog ATS vs CLOSING line (same games),3817,1927-1890-74,50.48,48.9,52.07,0.5601,-3.62,1,1,2/5,0,369-375-15,391-348-13,385-387-16,389-379-17,393-401-13,0
Line movement,Follow total steam (move >=1) vs close,2490,1260-1230-36,50.6,48.64,52.56,0.56114,-3.4,1,1,3/5,0,268-238-7,293-261-11,214-218-7,223-251-11,262-262-0,0
Totals by phase,Under — weeks 10+ (regular),1351,665-686-21,49.22,46.56,51.89,0.58637,-6.03,1,0,3/5,0,129-125-4,121-134-5,123-137-6,131-153-6,161-137-0,0
ATS by phase,Dog ATS — postseason,210,101-109-4,48.1,41.43,54.83,0.62917,-8.18,1,0,2/5,0,16-21-1,21-20-1,21-21-0,20-24-2,23-23-0,0
ATS home/away,Home ATS — all (non-neutral),3552,1790-1762-71,50.39,48.75,52.04,0.65053,-3.79,1,1,3/5,0,360-338-14,347-355-13,348-366-16,361-346-15,374-357-13,0
ATS by matchup,Dog ATS — P4vG5,529,259-270-16,48.96,44.72,53.21,0.66376,-6.53,1,0,2/5,0,54-48-4,47-54-4,53-53-4,47-62-3,58-53-1,0
ATS rankings,Unranked side ATS — vs AP-ranked,1039,527-512-22,50.72,47.68,53.75,0.66407,-3.17,1,1,2/5,0,107-112-4,97-100-5,102-104-8,111-101-2,110-95-3,0
ATS by spread size,Dog ATS — spread 14.5-21,560,275-285-5,49.11,44.99,53.24,0.70374,-6.25,1,0,3/5,0,53-67-0,63-54-1,51-57-2,55-58-1,53-49-1,0
Totals by size,Under — total <45,478,235-243-11,49.16,44.71,53.63,0.74888,-6.14,1,0,1/5,0,29-25-0,48-42-4,66-66-5,39-69-2,53-41-0,0
ATS by phase,Dog ATS — weeks 1-4,1209,599-610-25,49.55,46.73,52.36,0.77367,-5.41,1,0,3/5,0,123-112-8,118-128-6,122-128-8,116-122-2,120-120-1,0
ATS by phase,Home ATS — weeks 1-4,971,490-481-21,50.46,47.32,53.6,0.7974,-3.66,1,0,2/5,0,98-90-7,98-101-5,100-102-8,94-96-0,100-92-1,0
Moneyline,Home dogs ML,1320,412-908-0,31.21,-10.32,8.63,0.80754,-1.17,0,0,3/5,0,-0.8% (268),6.2% (244),-19.0% (269),9.5% (260),-0.9% (279),0
ATS by spread size,Dog ATS — spread 0.5-3,790,398-392-27,50.38,46.9,53.86,0.85882,-3.82,1,0,3/5,0,71-65-7,69-68-3,74-85-6,101-81-7,83-93-4,0
ATS conference,Dog ATS — non-conference,1228,611-617-25,49.76,46.96,52.55,0.88655,-5.01,1,0,3/5,0,121-117-6,123-118-5,118-119-7,121-133-5,128-130-2,0
ATS rest,Short-rest side ATS (<=5 days) — vs normal,64,31-33-5,48.44,36.63,60.42,0.90065,-7.53,1,0,0/0,0,4-10-2,6-4-1,4-6-0,9-8-1,8-5-1,0
Moneyline dogs by price,Dogs ML +251 to +400,747,182-565-0,24.36,-11.91,13.59,0.92738,0.6,1,0,1/5,0,-2.5% (150),-0.4% (169),-17.1% (136),37.0% (144),-14.3% (148),0
ATS fav/dog,Away dog ATS,2225,1115-1110-40,50.11,48.04,52.19,0.93242,-4.33,1,1,2/5,0,208-220-5,235-210-6,225-216-13,224-230-11,223-234-5,0
ATS by phase,Home ATS — weeks 10+,1299,651-648-18,50.12,47.4,52.83,0.95575,-4.33,1,0,3/5,0,126-121-3,117-132-2,131-120-4,139-133-4,138-142-5,0
ATS by phase,Dog ATS — weeks 10+,1349,673-676-18,49.89,47.22,52.55,0.95658,-4.76,1,0,3/5,0,125-130-3,130-124-2,128-133-4,149-137-4,141-152-5,0
