team,conference,sp_overall,sp_off,sp_def,sp_st,ppa_rush_o,ppa_pass_o,ppa_rush_d,ppa_pass_d,epa_overall_o,epa_overall_d
Air Force,Mountain West,-3.2000,28.3000,31.7000,0.2000,0.2285,0.5452,0.2925,0.5091,0.2869,0.4016
Akron,Mid-American,-13.9000,17.2000,29.3000,-1.9000,0.0119,0.1683,0.0977,0.2283,0.0702,0.1456
Alabama,SEC,14.8000,32.2000,16.1000,-1.3000,0.0490,0.3484,0.0673,0.1218,0.2078,0.0711
App State,Sun Belt,-11.4000,23.0000,35.2000,0.9000,0.0709,0.1777,0.0921,0.2958,0.0974,0.1803
Arizona,Big 12,12.0000,33.0000,19.5000,-1.5000,0.1404,0.2045,0.1015,0.1152,0.1671,0.0695
Arizona State,Big 12,3.9000,28.3000,22.7000,-1.7000,0.1194,0.2216,0.0381,0.1622,0.1318,0.1026
Arkansas,SEC,5.1000,35.8000,31.4000,0.8000,0.2782,0.3727,0.1652,0.4345,0.3022,0.2477
Arkansas State,Sun Belt,-8.8000,24.4000,33.5000,0.3000,-0.0356,0.2297,0.1188,0.3103,0.0902,0.1924
Army,American Athletic,0.8000,24.7000,24.1000,0.3000,0.1435,0.4593,0.0945,0.2993,0.1853,0.1750
Auburn,SEC,11.6000,28.3000,17.4000,0.7000,0.2386,0.1399,-0.1125,0.2620,0.1727,0.0599
BYU,Big 12,15.9000,33.9000,18.8000,0.8000,0.1987,0.2909,0.0467,0.1312,0.2204,0.0633
Ball State,Mid-American,-23.0000,13.4000,34.4000,-2.0000,0.0315,-0.0290,0.1441,0.3186,-0.0013,0.1827
Baylor,Big 12,1.4000,32.8000,33.3000,1.9000,0.1602,0.2462,0.1362,0.2478,0.1926,0.1729
Boise State,Pac-12,3.1000,29.1000,25.1000,-0.8000,0.1276,0.2522,0.2016,0.0327,0.1747,0.0996
Boston College,ACC,-8.5000,23.3000,33.1000,1.3000,0.0469,0.2542,0.1448,0.3612,0.1608,0.2346
Bowling Green,Mid-American,-12.6000,15.4000,28.8000,0.8000,0.0453,0.0487,0.0563,0.2706,0.0269,0.1462
Buffalo,Mid-American,-7.5000,18.2000,27.4000,1.6000,0.0055,0.1717,0.0468,0.2047,0.0809,0.1068
California,ACC,-3.2000,25.6000,27.9000,-0.9000,-0.0374,0.2337,0.1924,0.1431,0.1245,0.1623
Central Michigan,Mid-American,-8.8000,17.6000,25.7000,-0.7000,0.0221,0.4010,0.0724,0.1262,0.1366,0.0844
Charlotte,American Athletic,-26.7000,14.5000,39.8000,-1.4000,-0.1147,0.1235,0.1866,0.3054,-0.0071,0.2261
Cincinnati,Big 12,4.5000,30.2000,26.4000,0.8000,0.2328,0.4336,0.1447,0.2500,0.2987,0.1898
Clemson,ACC,9.5000,27.5000,18.9000,0.8000,0.1005,0.2522,0.0352,0.1669,0.1778,0.0946
Coastal Carolina,Sun Belt,-15.1000,23.4000,37.0000,-1.4000,0.0422,0.1066,0.1917,0.2864,0.0623,0.2026
Colorado,Big 12,-8.3000,22.6000,29.5000,-1.4000,0.0379,0.1554,0.1312,0.3298,0.0839,0.1899
Colorado State,Pac-12,-15.6000,17.6000,32.9000,-0.3000,0.0787,0.1997,0.1699,0.3756,0.1224,0.2371
Delaware,Conference USA,-10.9000,26.2000,36.2000,-0.9000,0.0801,0.2610,0.1671,0.2900,0.1926,0.2076
Duke,ACC,6.6000,34.8000,29.2000,1.1000,0.0933,0.3810,0.0944,0.3931,0.2450,0.2238
East Carolina,American Athletic,8.0000,32.6000,24.0000,-0.5000,0.1042,0.3328,-0.0341,0.1511,0.1927,0.0501
Eastern Michigan,Mid-American,-14.7000,19.4000,34.1000,0.1000,0.1321,0.2930,0.2070,0.3475,0.1993,0.2502
Florida,SEC,3.5000,24.5000,22.6000,1.5000,0.1322,0.1760,0.0851,0.2854,0.1385,0.1716
Florida Atlantic,American Athletic,-8.7000,27.8000,38.1000,1.5000,0.0452,0.2805,0.2171,0.2594,0.1596,0.2241
Florida International,Conference USA,-10.5000,26.1000,35.8000,-0.8000,0.1584,0.1986,0.1357,0.2104,0.1577,0.1499
Florida State,ACC,7.2000,29.3000,21.2000,-0.8000,0.2755,0.3529,0.0950,0.2175,0.3007,0.1475
Fresno State,Pac-12,1.8000,23.0000,21.1000,-0.1000,0.0403,0.2308,0.0565,0.1364,0.1028,0.0829
Georgia,SEC,24.1000,37.0000,14.8000,1.9000,0.1450,0.3549,-0.0097,0.2211,0.2448,0.0931
Georgia Southern,Sun Belt,-9.4000,28.3000,37.7000,0.1000,0.1817,0.2624,0.2697,0.3252,0.2007,0.2666
Georgia State,Sun Belt,-24.5000,18.6000,41.1000,-2.0000,0.0559,0.2345,0.1906,0.4242,0.1304,0.2753
Georgia Tech,ACC,9.3000,32.5000,24.9000,1.7000,0.1858,0.4292,0.1048,0.2758,0.2721,0.1940
Hawai'i,Mountain West,1.7000,27.3000,27.3000,1.7000,0.0221,0.2781,0.0958,0.2448,0.1674,0.1633
Houston,Big 12,7.4000,31.5000,23.0000,-1.1000,-0.0287,0.3210,0.0460,0.2183,0.1064,0.1059
Illinois,Big Ten,12.9000,33.3000,21.7000,1.3000,0.0866,0.3958,0.0804,0.3002,0.2068,0.1924
Indiana,Big Ten,32.4000,40.8000,9.9000,1.5000,0.2285,0.5733,-0.0687,0.1342,0.3423,0.0144
Iowa,Big Ten,19.7000,32.1000,14.2000,1.7000,0.1625,0.2353,0.0450,0.1344,0.1531,0.0545
Iowa State,Big 12,9.9000,28.1000,19.5000,1.3000,0.1603,0.2867,0.0157,0.2352,0.1914,0.0902
Jacksonville State,Conference USA,-6.7000,27.2000,32.4000,-1.6000,0.2104,0.1678,0.1072,0.2377,0.1869,0.1543
James Madison,Sun Belt,12.3000,34.9000,21.4000,-1.1000,0.2417,0.2762,-0.0276,0.0580,0.2253,0.0018
Kansas,Big 12,4.1000,30.9000,28.5000,1.7000,0.1854,0.2908,0.1161,0.3626,0.2137,0.2361
Kansas State,Big 12,7.0000,31.3000,25.0000,0.7000,0.1752,0.2526,0.1149,0.1492,0.2079,0.1193
Kennesaw State,Conference USA,-5.4000,26.4000,30.2000,-1.7000,0.1187,0.2761,0.1452,0.2262,0.1536,0.1658
Kent State,Mid-American,-19.3000,17.0000,34.9000,-1.5000,-0.0359,0.2456,0.1570,0.2809,0.0664,0.1993
Kentucky,SEC,1.8000,25.5000,23.7000,0.0000,0.0853,0.1765,0.0662,0.3015,0.0930,0.1699
LSU,SEC,10.3000,25.8000,16.1000,0.7000,0.0205,0.2076,0.0265,0.1698,0.0870,0.0839
Liberty,Conference USA,-9.0000,24.6000,32.8000,-0.7000,0.1729,0.2263,0.1857,0.2459,0.1672,0.2039
Louisiana,Sun Belt,-10.1000,25.3000,34.0000,-1.4000,0.1263,0.1409,0.1905,0.2729,0.1131,0.1955
Louisiana Tech,Sun Belt,-1.3000,25.6000,27.0000,0.1000,0.1481,0.1821,0.0209,0.1056,0.1412,0.0454
Louisville,ACC,12.4000,31.6000,19.8000,0.6000,0.1904,0.1623,0.0787,0.0621,0.1526,0.0599
Marshall,Sun Belt,-4.5000,29.6000,34.8000,0.7000,0.0210,0.3718,0.0352,0.3401,0.1610,0.1604
Maryland,Big Ten,0.6000,24.4000,24.7000,0.9000,0.0044,0.2016,0.1280,0.1552,0.1136,0.1122
Massachusetts,Mid-American,-36.6000,7.8000,42.8000,-1.5000,-0.0434,-0.0113,0.1702,0.4370,-0.0310,0.2620
Memphis,American Athletic,7.6000,34.3000,28.3000,1.5000,0.2879,0.2084,0.0103,0.3612,0.2452,0.1693
Miami,ACC,20.7000,34.2000,14.3000,0.8000,0.1028,0.4366,-0.0114,0.1296,0.2225,0.0338
Miami (OH),Mid-American,-3.4000,19.3000,24.2000,1.5000,0.0705,0.1796,0.0511,0.1901,0.1017,0.0877
Michigan,Big Ten,12.4000,30.9000,17.0000,-1.4000,0.2373,0.2032,0.0442,0.2175,0.1985,0.1129
Michigan State,Big Ten,-3.4000,26.6000,28.7000,-1.3000,0.0706,0.2358,0.1566,0.2968,0.1306,0.1980
Middle Tennessee,Conference USA,-16.0000,20.4000,37.0000,0.5000,0.0725,0.1866,0.0337,0.4122,0.1424,0.2099
Minnesota,Big Ten,1.5000,23.8000,20.8000,-1.6000,0.0279,0.2017,0.1127,0.2537,0.1088,0.1766
Mississippi State,SEC,4.1000,31.6000,29.0000,1.5000,0.1394,0.2030,0.1437,0.2805,0.1530,0.2048
Missouri,SEC,14.4000,31.2000,15.4000,-1.4000,0.2359,0.2018,0.0324,0.0524,0.2108,0.0256
Missouri State,Conference USA,-10.7000,25.6000,34.8000,-1.5000,0.0321,0.3234,0.1853,0.3319,0.1714,0.2440
NC State,ACC,4.8000,31.4000,25.5000,-1.2000,0.1565,0.3488,0.1154,0.2698,0.2443,0.1890
Navy,American Athletic,6.2000,33.6000,27.9000,0.5000,0.2891,0.4454,0.1181,0.3612,0.2990,0.2094
Nebraska,Big Ten,6.2000,28.8000,22.7000,0.1000,0.1532,0.2419,0.2374,0.1648,0.1819,0.1901
Nevada,Mountain West,-13.4000,14.2000,28.7000,1.0000,0.0840,-0.0115,0.1908,0.2011,0.0337,0.1871
New Mexico,Mountain West,0.9000,25.4000,26.1000,1.6000,0.1468,0.2647,0.0415,0.2365,0.1824,0.1118
New Mexico State,Conference USA,-15.5000,19.7000,34.9000,-0.3000,-0.0774,0.1318,0.0017,0.2509,0.0311,0.0993
North Carolina,ACC,-6.6000,17.2000,25.0000,1.2000,-0.0195,0.1785,0.0962,0.1887,0.0614,0.1487
North Dakota State,,,,,,0.2422,0.6359,0.0189,-0.0486,0.3598,-0.0258
North Texas,American Athletic,13.8000,43.1000,28.6000,-0.7000,0.2940,0.4543,0.1756,0.1676,0.3514,0.1616
Northern Illinois,Mountain West,-16.7000,12.0000,28.1000,-0.6000,0.1173,0.0001,0.1628,0.2037,0.0469,0.1861
Northwestern,Big Ten,5.8000,24.4000,20.0000,1.3000,0.1423,0.1977,0.1702,0.2344,0.1461,0.1706
Notre Dame,FBS Independents,24.4000,40.0000,16.3000,0.8000,0.2366,0.4439,0.0358,0.0516,0.3326,0.0231
Ohio,Mid-American,-4.0000,23.2000,25.2000,-1.9000,0.2088,0.2698,0.0804,0.2066,0.2067,0.1250
Ohio State,Big Ten,30.1000,37.6000,7.7000,0.2000,0.1387,0.5547,-0.0667,0.0645,0.3271,-0.0136
Oklahoma,SEC,18.3000,30.1000,12.9000,1.1000,0.0252,0.1999,-0.0819,0.0756,0.1068,-0.0158
Oklahoma State,Big 12,-15.1000,15.2000,31.6000,1.3000,-0.0529,0.0351,0.1277,0.4463,-0.0116,0.2611
Old Dominion,Sun Belt,5.9000,31.6000,23.7000,-2.0000,0.1616,0.3710,-0.0034,0.0798,0.2365,0.0183
Ole Miss,SEC,24.0000,40.4000,18.3000,1.9000,0.1609,0.4633,0.1588,0.1139,0.3073,0.1099
Oregon,Big Ten,25.9000,38.7000,13.5000,0.7000,0.2379,0.4045,0.0641,0.1029,0.3027,0.0408
Oregon State,Pac-12,-15.9000,17.0000,30.8000,-2.0000,0.0177,0.1243,0.0919,0.3130,0.0618,0.1835
Penn State,Big Ten,18.1000,35.1000,18.8000,1.8000,0.2064,0.2923,0.1015,0.1639,0.2279,0.1049
Pittsburgh,ACC,8.4000,31.6000,23.5000,0.4000,0.0593,0.3083,-0.0683,0.2167,0.1735,0.0700
Purdue,Big Ten,-6.1000,21.9000,29.9000,1.8000,0.1248,0.1187,0.1782,0.4283,0.0974,0.2697
Rice,American Athletic,-14.8000,17.7000,33.9000,1.3000,0.0344,0.0777,0.1561,0.3617,0.0374,0.2398
Rutgers,Big Ten,1.0000,31.6000,30.7000,0.2000,0.0811,0.3507,0.2740,0.4234,0.2102,0.3087
SMU,ACC,13.4000,34.2000,19.5000,-1.2000,0.1434,0.4063,-0.0526,0.1729,0.2486,0.0325
Sacramento State,,,,,,0.3190,0.2315,0.1100,0.1559,0.2744,0.1072
Sam Houston,Conference USA,-27.8000,15.3000,41.8000,-1.3000,0.0689,-0.0209,0.1761,0.3732,0.0011,0.2368
San Diego State,Pac-12,6.7000,24.4000,19.6000,1.8000,0.1575,0.0797,0.0525,-0.0497,0.1181,-0.0179
San José State,Mountain West,-14.3000,21.6000,34.4000,-1.5000,0.1279,0.2160,0.1061,0.3460,0.1718,0.2036
South Alabama,Sun Belt,-12.7000,25.4000,36.0000,-2.0000,0.1477,0.2105,0.1861,0.3389,0.1602,0.2404
South Carolina,SEC,5.9000,24.6000,20.2000,1.5000,0.1046,0.1753,-0.0582,0.2371,0.1049,0.0787
South Florida,American Athletic,11.6000,37.7000,25.3000,-0.8000,0.2009,0.4437,0.0266,0.1698,0.2977,0.0801
Southern Miss,Sun Belt,-7.1000,27.0000,32.8000,-1.3000,0.1035,0.2437,0.1544,0.1369,0.1625,0.1158
Stanford,ACC,-11.8000,18.4000,28.6000,-1.7000,-0.0204,0.1854,-0.0089,0.3506,0.0633,0.1784
Syracuse,ACC,-13.1000,18.8000,33.0000,1.1000,0.0249,0.1076,0.1505,0.4019,0.0523,0.2663
TCU,Big 12,8.3000,32.9000,23.9000,-0.7000,0.0586,0.3699,0.0296,0.3177,0.1970,0.1410
Temple,American Athletic,-5.1000,27.1000,33.2000,1.0000,0.0511,0.3382,0.2144,0.3537,0.1799,0.2581
Tennessee,SEC,15.0000,39.3000,25.4000,1.1000,0.2356,0.4059,0.1000,0.1998,0.3164,0.1461
Texas,SEC,16.2000,32.9000,17.9000,1.2000,0.0703,0.2989,0.0205,0.1834,0.1786,0.0983
Texas A&M,SEC,20.7000,38.0000,16.4000,-1.0000,0.1576,0.3709,0.1334,0.1027,0.2331,0.1177
Texas State,Pac-12,2.3000,36.6000,34.6000,0.4000,0.2556,0.4025,0.0846,0.2494,0.3107,0.1579
Texas Tech,Big 12,27.6000,39.3000,12.3000,0.6000,0.1522,0.3919,-0.1449,0.0250,0.2460,-0.0652
Toledo,Mid-American,6.0000,25.8000,18.5000,-1.3000,0.1233,0.3330,-0.0280,-0.0771,0.2037,-0.0777
Troy,Sun Belt,-4.8000,23.6000,29.0000,0.7000,0.0048,0.1555,0.0922,0.1621,0.0809,0.1124
Tulane,American Athletic,6.3000,32.4000,27.6000,1.6000,0.0871,0.3755,0.0868,0.2498,0.2050,0.1501
Tulsa,American Athletic,-10.0000,21.7000,33.1000,1.4000,0.0560,0.1492,0.0686,0.2770,0.1123,0.1514
UAB,American Athletic,-15.8000,25.5000,39.8000,-1.5000,0.1453,0.2606,0.2134,0.4900,0.1778,0.3232
UCF,Big 12,-1.2000,23.2000,24.0000,-0.5000,0.1379,0.1858,0.1240,0.1353,0.1494,0.1134
UCLA,Big Ten,-8.7000,21.7000,30.4000,0.1000,0.1923,0.1045,0.2385,0.3388,0.1173,0.2609
UConn,FBS Independents,5.1000,32.0000,28.5000,1.6000,0.2130,0.4312,0.1944,0.2505,0.3122,0.2080
UL Monroe,Sun Belt,-21.6000,16.1000,35.7000,-2.1000,0.0471,0.1860,0.0813,0.3199,0.0798,0.1870
UNLV,Mountain West,4.3000,33.8000,29.8000,0.2000,0.2592,0.3572,0.2152,0.2499,0.2979,0.2101
USC,Big Ten,16.9000,38.9000,21.0000,-1.0000,0.2143,0.5257,0.1328,0.1653,0.3442,0.1488
UTEP,Mountain West,-17.5000,20.2000,36.3000,-1.4000,0.0539,0.0174,0.0047,0.2313,0.0128,0.1008
UTSA,American Athletic,3.7000,33.3000,30.0000,0.4000,0.1552,0.2981,0.0784,0.2425,0.2040,0.1359
Utah,Big 12,22.2000,39.7000,17.5000,0.0000,0.3526,0.3668,0.1970,-0.0330,0.3466,0.0675
Utah State,Pac-12,-3.1000,29.5000,31.2000,-1.4000,0.1809,0.2631,0.1980,0.2014,0.2047,0.1977
Vanderbilt,SEC,20.3000,39.9000,21.4000,1.8000,0.3253,0.5182,0.0172,0.3463,0.4128,0.1910
Virginia,ACC,11.1000,28.8000,18.1000,0.5000,0.1835,0.2261,0.0490,0.1322,0.1735,0.0637
Virginia Tech,ACC,-10.1000,21.4000,30.8000,-0.7000,0.1891,0.1652,0.1568,0.4259,0.1718,0.2682
Wake Forest,ACC,5.7000,26.6000,20.9000,0.0000,0.0989,0.2620,0.0073,0.1009,0.1590,0.0408
Washington,Big Ten,18.4000,34.5000,15.3000,-0.9000,0.2692,0.3695,-0.0344,0.1784,0.2900,0.0574
Washington State,Pac-12,3.8000,24.6000,20.5000,-0.3000,0.0783,0.1994,0.0862,0.1410,0.1260,0.0920
West Virginia,Big 12,-6.8000,22.8000,30.0000,0.3000,0.0373,0.1253,0.0136,0.3522,0.0711,0.1585
Western Kentucky,Conference USA,1.6000,28.8000,28.6000,1.4000,0.0822,0.2451,0.0893,0.1319,0.1657,0.0962
Western Michigan,Mid-American,-1.4000,21.7000,21.8000,-1.3000,0.1195,0.0910,0.0697,0.0697,0.1004,0.0527
Wisconsin,Big Ten,-4.4000,17.4000,20.9000,-0.9000,0.0625,0.0239,0.0462,0.3125,0.0224,0.1726
Wyoming,Mountain West,-11.3000,15.3000,24.7000,-1.8000,0.0130,0.1178,0.0721,0.1317,0.0487,0.0689
