team,conference,sp_overall,sp_off,sp_def,sp_st,ppa_rush_o,ppa_pass_o,ppa_rush_d,ppa_pass_d,epa_overall_o,epa_overall_d,rush_o_rating,pass_o_rating,rush_d_rating,pass_d_rating,st_rating,sp_off_rating,sp_def_rating,sp_overall_rating,composite
Air Force,Mountain West,-3.200,28.300,31.700,0.200,0.229,0.545,0.292,0.509,0.287,0.402,7.360,9.440,0.190,0.160,5.330,5.320,3.560,4.400,4.380
Akron,Mid-American,-13.900,17.200,29.300,-1.900,0.012,0.168,0.098,0.228,0.070,0.146,2.630,3.620,4.920,5.050,1.870,2.220,4.220,2.770,3.860
Alabama,SEC,14.800,32.200,16.100,-1.300,0.049,0.348,0.067,0.122,0.208,0.071,3.440,6.400,5.660,6.900,2.860,6.410,7.840,7.150,5.350
App State,Sun Belt,-11.400,23.000,35.200,0.900,0.071,0.178,0.092,0.296,0.097,0.180,3.920,3.770,5.060,3.870,6.480,3.840,2.600,3.150,4.370
Arizona,Big 12,12.000,33.000,19.500,-1.500,0.140,0.204,0.102,0.115,0.167,0.070,5.440,4.180,4.830,7.020,2.530,6.630,6.910,6.730,5.110
Arizona State,Big 12,3.900,28.300,22.700,-1.700,0.119,0.222,0.038,0.162,0.132,0.103,4.980,4.450,6.370,6.200,2.200,5.320,6.030,5.490,5.200
Arkansas,SEC,5.100,35.800,31.400,0.800,0.278,0.373,0.165,0.434,0.302,0.248,8.450,6.780,3.290,1.460,6.310,7.410,3.640,5.670,5.110
Arkansas State,Sun Belt,-8.800,24.400,33.500,0.300,-0.036,0.230,0.119,0.310,0.090,0.192,1.600,4.570,4.410,3.620,5.490,4.230,3.070,3.550,3.730
Army,American Athletic,0.800,24.700,24.100,0.300,0.143,0.459,0.095,0.299,0.185,0.175,5.510,8.110,5.000,3.810,5.490,4.310,5.650,5.020,5.600
Auburn,SEC,11.600,28.300,17.400,0.700,0.239,0.140,-0.113,0.262,0.173,0.060,7.590,3.190,10.000,4.460,6.150,5.320,7.490,6.660,6.300
BYU,Big 12,15.900,33.900,18.800,0.800,0.199,0.291,0.047,0.131,0.220,0.063,6.710,5.510,6.160,6.740,6.310,6.880,7.100,7.320,6.280
Ball State,Mid-American,-23.000,13.400,34.400,-2.000,0.032,-0.029,0.144,0.319,-0.001,0.183,3.060,0.580,3.800,3.480,1.710,1.160,2.820,1.380,2.640
Baylor,Big 12,1.400,32.800,33.300,1.900,0.160,0.246,0.136,0.248,0.193,0.173,5.870,4.820,3.990,4.710,8.120,6.580,3.120,5.110,5.140
